"","Location"
"1379","Ohio"
"1380","New Jersey"
"1381","New York"
"1382","Massachusetts"
"1383","Massachusetts"
"1384","Florida"
"1385","New York"
"1386","North Carolina"
"1387","Colorado"
"1388","North Carolina"
"1389","Massachusetts"
"1390","Pennsylvania"
"1391","New York"
"1392","North Carolina"
"1393","Maryland"
"1394","West Virginia"
"1395","New York"
"1396","Maryland"
"1397","New York"
"1398","North Carolina"
"1399","New Jersey"
"1400","Massachusetts"
"1401","New Jersey"
"1402","New York"
"1403","Virginia"
"1404","North Carolina"
"1405","Virginia"
"1406","North Carolina"
"1407","North Carolina"
"1408","Florida"
"1409","North Carolina"
"1410","North Carolina"
